ENGLISH,ARABIC,FRENCH,CATEGORY
Acid Calcium Phosphate,أسيد فوسفات الكالسيوم,Phosphate acide de calcium,
Acid Casein,حمض قاني,Caséine acide,
Acid Phosphate,حمض الفوسفات,Phosphate acide,
Acid Sodium Pyrophosphate,حمض بايروفوسفات الصوديوم,Pyrophosphate de sodium acide,
Acid Treated Starch,نشا محمض,Amidon traité à l'acide,
Acid Modified Corn Starch,نشا ذرة معدل,Amidon de maïs modifié à l'acide,
Acidity Regulators,منظم الحمض,Régulateurs d'acidité,
Acids ,أحماض,Acides,
Acids Acid Regulators ,أحماض منظم أحماض,Acides Régulateurs d'acide,
Acidulants ,محمضات,Acidulants,
Acidulants and Acids ,محمضات وأحماض,Acidulants et acides,
Acini di Pepe,ثنائي عنيبات,Acini di Pepe,
Ackawi,عكاوي,Ackawi,
Ackee,آقية,Ackee,
Aconitic Acid,حامض الأكونتيك,Acide aconotique,
Acorn Squash,مهروس جوز البلوط,Courge poivrée,
Acrolein,أكرولين، مركب طيار من الغيليسرين,Acroléine,
ADDA,قعدة,ADDA,
Added to prevent caking,لمنع التعجين,Ajouté pour empêcher la prise en masse,
